"group","album","id","First_.lp._release","release_date","month","Selfdetermination","style","language","Language_2nd","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","City","sex","region","longList","image","ID.на.сайту.Аристократов","Ссылка.на.группу","listen"
"044 Rose","ROSE 044","sing1","","15.11.2019","nov","hip hop pop","hip hop & rap","російська","","*","*","","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://fastfoodmusic.com/wp-content/uploads/2018/11/dGwSYqB7D_w.jpg",20417,"","https://soundcloud.com/044klan/sets/044-rose-rose-044"
"1914","The Blind Leading The Blind","sing2","","11.11.2019","nov","death\doom metal","metal","англійська","","*","*","*","*","*","*","*","*","Львів","чоловіча","Захід","Інші альбоми","https://f4.bcbits.com/img/a3668139661_10.jpg",20353,"https://www.facebook.com/1914band/","https://x1914x.bandcamp.com/album/the-blind-leading-the-blind"
"2sleepy","For The Next Day","sing4","","22.11.2019","nov","electronic","electronic","немає","-","*","*","","*","*","*","*","*","Київ Krakow Brooklyn","чоловіча","Центр","Long list","https://liroom.com.ua/wp-content/uploads/2018/11/2-2-500x500.jpg",20354,"https://www.facebook.com/2sleepy.band/","https://soundcloud.com/2sleepy/sets/2sleepy-for-the-next-day-private"
"2sleepy","For The Next Day","sing3","","22.11.2019","nov","electronic","electronic","немає","-","*","*","","*","*","*","*","*","Київ Krakow Brooklyn","чоловіча","Закордон","Long list","https://liroom.com.ua/wp-content/uploads/2018/11/2-2-500x500.jpg",20354,"https://www.facebook.com/2sleepy.band/","https://soundcloud.com/2sleepy/sets/2sleepy-for-the-next-day-private"
"8X8","New Data New Day","sing5","","01.12.2019","dec","Psychedelic","rock","англійська","","*","","","*","*","*","*","*","from duo of Lane Steinberg (NYC, US) and Alex Khodchenko (Kiev, Ukraine)","чоловіча","Закордон","Інші альбоми","https://rock.ua/rockdb/i/cd/full/1174-new_data_new_day.jpg",20361,"https://www.facebook.com/8X8theband/","https://www.youtube.com/playlist?list=OLAK5uy_nuqq_aKGvDdEFXuI7mNje0sV7evtSXzGY"
"8X8","New Data New Day","sing6","","01.12.2019","dec","Psychedelic","rock","англійська","","*","","","*","*","*","*","*","from duo of Lane Steinberg (NYC, US) and Alex Khodchenko (Kiev, Ukraine)","чоловіча","Центр","Інші альбоми","https://rock.ua/rockdb/i/cd/full/1174-new_data_new_day.jpg",20361,"https://www.facebook.com/8X8theband/","https://www.youtube.com/playlist?list=OLAK5uy_nuqq_aKGvDdEFXuI7mNje0sV7evtSXzGY"
"Advokaty","23:45","sing7","*","30.03.2019","mar","alternative rock","rock","російська","","*","*","*","","*","*","*","*","Київ","мікс","Центр","Long list","https://rock.ua/rockdb/i/cd/full/1050-2345.jpg",20181,"https://www.facebook.com/advokaty.official/","https://soundcloud.com/advokaty/sets/2345album"
"Aero Benin","Aero Benin","sing8","*","07.09.2019","sep","psychedelic pop","indie","англійська","fr","*","*","*","*","*","*","*","*","Київ","чоловіча","Центр","Long list","https://f4.bcbits.com/img/0014279796_10.jpg",20182,"https://www.facebook.com/aerobenin/","https://aerobenin.bandcamp.com/album/aero-benin"
"AGHIAZMA","Plus Ultra","sing9","*","23.11.2019","nov","post-punk, goth-rock, industrial metal influenced","rock","англійська","","*","*","","*","*","*","*","*","Київ","мікс","Центр","Інші альбоми","https://toloka.to/photos/181124150853804752_f0_0.jpg",20374,"https://www.facebook.com/aghiazma/","https://play.google.com/store/music/album/AGHIAZMA_Plus_Ultra?id=Byrczshw7pbplj7azsmyf6va3eq"
"Alex Demian","Зорі в неоні","sing10","*","20.06.2019","jun","pop","pop","українська","","*","*","","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://images.shazam.com/coverart/t406916381-b1398941960_s400.jpg",20183,"https://www.facebook.com/AlexDemianMusic/","https://itunes.apple.com/ua/album/%D0%B7%D0%BE%D1%80%D1%96-%D0%B2-%D0%BD%D0%B5%D0%BE%D0%BD%D1%96/1398941791?app=music&ign-mpt=uo%3D4"
"Alex Zakharchuk","ЖИВЕМ ОДИН РАЗ","sing244","*","15.05.2019","may","pop","pop","російська","укр","*","","","*","*","*","*","","Київ","чоловіча","Центр","Інші альбоми","http://vinyla.com.ua/files/products/alex-zakharchuk-zhivem-odin-raz.800x700.jpg?1d6952fc939f85a104853c75f447208c",20184,"https://www.facebook.com/zakharchukofficial/?eid=ARAEMUXcEAb_r90__2KNgyr7D3q_tQt7Av-EfesxnCKhbLrei3bCsrV7x_AW9-NDfqgJ-cfIIQ2V1hym","https://www.youtube.com/watch?v=yzfFLyoL72M&feature=youtu.be"
"Amphibian Man","No Surfers In My Town","sing11","","23.11.2019","nov","surf rock","rock","англійська","","*","*","*","*","*","*","*","*","Київ","чоловіча","Центр","Інші альбоми","https://f4.bcbits.com/img/a0533825538_10.jpg",20398,"https://www.facebook.com/amphibianmansurf","https://soundcloud.com/user-210549985/sets/no-surfers-in-my-town"
"Andrey Chmut","Smoothability","sing12","*","02.07.2019","jul","jazz","jazz","немає","-","*","","","*","","","","","Київ","чоловіча","Центр","Long list","https://images-na.ssl-images-amazon.com/images/I/710YwOmMLQL._SL1400_.jpg",20185,"https://www.facebook.com/andrey.chmut.3","https://itunes.apple.com/ru/album/smoothability/1388690133"
